"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","checkLoginWithEmptyPassword","CrossBrowser Test","Mon Jun 16 17:28:49 GMT 2025","unknown","Mon Jun 16 17:28:49 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","2862","checkEndToEnd","CrossBrowser Test","Mon Jun 16 17:29:14 GMT 2025","passed","Mon Jun 16 17:29:17 GMT 2025","tests.EndToEndTest","FireFox","tests.EndToEndTest","checkEndToEnd"
"Проверка добавления товара в корзину","598","checkAddToCart","CrossBrowser Test","Mon Jun 16 17:28:55 GMT 2025","passed","Mon Jun 16 17:28:56 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddToCart"
"","1006","checkSort","CrossBrowser Test","Mon Jun 16 17:29:20 GMT 2025","passed","Mon Jun 16 17:29:21 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkLoginWithIncorreсtLogin","CrossBrowser Test","Mon Jun 16 17:28:49 GMT 2025","unknown","Mon Jun 16 17:28:49 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtLogin"
"","1126","checkSort","CrossBrowser Test","Mon Jun 16 17:29:27 GMT 2025","passed","Mon Jun 16 17:29:28 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","468","checkLogin","CrossBrowser Test","Mon Jun 16 17:28:52 GMT 2025","passed","Mon Jun 16 17:28:52 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLogin"
"","1304","checkSort","CrossBrowser Test","Mon Jun 16 17:29:31 GMT 2025","passed","Mon Jun 16 17:29:32 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkAddTwoProductsToCart","CrossBrowser Test","Mon Jun 16 17:28:49 GMT 2025","unknown","Mon Jun 16 17:28:49 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddTwoProductsToCart"
"","0","checkLoginWithIncorreсtPassword","CrossBrowser Test","Mon Jun 16 17:28:49 GMT 2025","unknown","Mon Jun 16 17:28:49 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtPassword"
"","1","checkLoginWithEmptyLogin","CrossBrowser Test","Mon Jun 16 17:28:49 GMT 2025","unknown","Mon Jun 16 17:28:49 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","1332","checkSort","CrossBrowser Test","Mon Jun 16 17:29:23 GMT 2025","passed","Mon Jun 16 17:29:24 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
