"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","checkLoginWithEmptyLogin","CrossBrowser Test","Mon Jun 16 17:42:50 GMT 2025","unknown","Mon Jun 16 17:42:50 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"Проверка добавления товара в корзину","584","checkAddToCart","CrossBrowser Test","Mon Jun 16 17:42:56 GMT 2025","passed","Mon Jun 16 17:42:57 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddToCart"
"","2386","checkEndToEnd","CrossBrowser Test","Mon Jun 16 17:43:06 GMT 2025","passed","Mon Jun 16 17:43:09 GMT 2025","tests.EndToEndTest","FireFox","tests.EndToEndTest","checkEndToEnd"
"","554","checkLogin","CrossBrowser Test","Mon Jun 16 17:42:53 GMT 2025","passed","Mon Jun 16 17:42:54 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLogin"
"","1307","checkSort","CrossBrowser Test","Mon Jun 16 17:43:15 GMT 2025","passed","Mon Jun 16 17:43:16 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","1103","checkSort","CrossBrowser Test","Mon Jun 16 17:43:23 GMT 2025","passed","Mon Jun 16 17:43:24 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkLoginWithIncorreсtPassword","CrossBrowser Test","Mon Jun 16 17:42:50 GMT 2025","unknown","Mon Jun 16 17:42:50 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtPassword"
"","1210","checkSort","CrossBrowser Test","Mon Jun 16 17:43:19 GMT 2025","passed","Mon Jun 16 17:43:20 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkLoginWithEmptyPassword","CrossBrowser Test","Mon Jun 16 17:42:50 GMT 2025","unknown","Mon Jun 16 17:42:50 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","0","checkAddTwoProductsToCart","CrossBrowser Test","Mon Jun 16 17:42:50 GMT 2025","unknown","Mon Jun 16 17:42:50 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddTwoProductsToCart"
"","1","checkLoginWithIncorreсtLogin","CrossBrowser Test","Mon Jun 16 17:42:50 GMT 2025","unknown","Mon Jun 16 17:42:50 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtLogin"
"","1044","checkSort","CrossBrowser Test","Mon Jun 16 17:43:11 GMT 2025","passed","Mon Jun 16 17:43:12 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
