"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка добавления товара в корзину","609","checkAddToCart","CrossBrowser Test","Mon Jun 16 16:35:26 GMT 2025","passed","Mon Jun 16 16:35:27 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddToCart"
"","444","checkLogin","CrossBrowser Test","Mon Jun 16 16:35:23 GMT 2025","passed","Mon Jun 16 16:35:24 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLogin"
"","1103","checkSort","CrossBrowser Test","Mon Jun 16 16:35:36 GMT 2025","passed","Mon Jun 16 16:35:38 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","1273","checkSort","CrossBrowser Test","Mon Jun 16 16:35:47 GMT 2025","passed","Mon Jun 16 16:35:49 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkLoginWithIncorreсtLogin","CrossBrowser Test","Mon Jun 16 16:35:20 GMT 2025","unknown","Mon Jun 16 16:35:20 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtLogin"
"","2235","checkEndToEnd","CrossBrowser Test","Mon Jun 16 16:35:32 GMT 2025","passed","Mon Jun 16 16:35:34 GMT 2025","tests.EndToEndTest","FireFox","tests.EndToEndTest","checkEndToEnd"
"","1287","checkSort","CrossBrowser Test","Mon Jun 16 16:35:44 GMT 2025","passed","Mon Jun 16 16:35:45 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkAddTwoProductsToCart","CrossBrowser Test","Mon Jun 16 16:35:20 GMT 2025","unknown","Mon Jun 16 16:35:20 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddTwoProductsToCart"
"","1360","checkSort","CrossBrowser Test","Mon Jun 16 16:35:40 GMT 2025","passed","Mon Jun 16 16:35:41 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkLoginWithEmptyPassword","CrossBrowser Test","Mon Jun 16 16:35:20 GMT 2025","unknown","Mon Jun 16 16:35:20 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","1","checkLoginWithEmptyLogin","CrossBrowser Test","Mon Jun 16 16:35:20 GMT 2025","unknown","Mon Jun 16 16:35:20 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","1","checkLoginWithIncorreсtPassword","CrossBrowser Test","Mon Jun 16 16:35:20 GMT 2025","unknown","Mon Jun 16 16:35:20 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtPassword"
