"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1283","checkSort","CrossBrowser Test","Mon Jun 16 17:30:30 GMT 2025","passed","Mon Jun 16 17:30:31 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","4","checkLoginWithEmptyLogin","CrossBrowser Test","Mon Jun 16 17:30:06 GMT 2025","unknown","Mon Jun 16 17:30:06 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","0","checkAddTwoProductsToCart","CrossBrowser Test","Mon Jun 16 17:30:07 GMT 2025","unknown","Mon Jun 16 17:30:07 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddTwoProductsToCart"
"","2268","checkEndToEnd","CrossBrowser Test","Mon Jun 16 17:30:18 GMT 2025","passed","Mon Jun 16 17:30:20 GMT 2025","tests.EndToEndTest","FireFox","tests.EndToEndTest","checkEndToEnd"
"","0","checkLoginWithEmptyPassword","CrossBrowser Test","Mon Jun 16 17:30:07 GMT 2025","unknown","Mon Jun 16 17:30:07 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","0","checkLoginWithIncorreсtPassword","CrossBrowser Test","Mon Jun 16 17:30:07 GMT 2025","unknown","Mon Jun 16 17:30:07 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtPassword"
"","445","checkLogin","CrossBrowser Test","Mon Jun 16 17:30:10 GMT 2025","passed","Mon Jun 16 17:30:11 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLogin"
"","1232","checkSort","CrossBrowser Test","Mon Jun 16 17:30:23 GMT 2025","passed","Mon Jun 16 17:30:24 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"Проверка добавления товара в корзину","604","checkAddToCart","CrossBrowser Test","Mon Jun 16 17:30:13 GMT 2025","passed","Mon Jun 16 17:30:14 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddToCart"
"","0","checkLoginWithIncorreсtLogin","CrossBrowser Test","Mon Jun 16 17:30:07 GMT 2025","unknown","Mon Jun 16 17:30:07 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtLogin"
"","1317","checkSort","CrossBrowser Test","Mon Jun 16 17:30:27 GMT 2025","passed","Mon Jun 16 17:30:28 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","1226","checkSort","CrossBrowser Test","Mon Jun 16 17:30:34 GMT 2025","passed","Mon Jun 16 17:30:35 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
