"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2627","checkEndToEnd","CrossBrowser Test","Sat Jun 21 16:03:00 GMT 2025","passed","Sat Jun 21 16:03:03 GMT 2025","tests.EndToEndTest","FireFox","tests.EndToEndTest","checkEndToEnd"
"","1377","checkSort","CrossBrowser Test","Sat Jun 21 16:03:09 GMT 2025","passed","Sat Jun 21 16:03:10 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","441","checkLogin","CrossBrowser Test","Sat Jun 21 16:02:45 GMT 2025","passed","Sat Jun 21 16:02:45 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLogin"
"","0","checkLoginWithEmptyLogin","CrossBrowser Test","Sat Jun 21 16:02:41 GMT 2025","unknown","Sat Jun 21 16:02:41 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","864","checkSort","CrossBrowser Test","Sat Jun 21 16:03:06 GMT 2025","passed","Sat Jun 21 16:03:07 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkAddTwoProductsToCart","CrossBrowser Test","Sat Jun 21 16:02:41 GMT 2025","unknown","Sat Jun 21 16:02:41 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddTwoProductsToCart"
"","1257","checkSort","CrossBrowser Test","Sat Jun 21 16:03:13 GMT 2025","passed","Sat Jun 21 16:03:14 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkLoginWithIncorreсtLogin","CrossBrowser Test","Sat Jun 21 16:02:41 GMT 2025","unknown","Sat Jun 21 16:02:41 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtLogin"
"","0","checkLoginWithEmptyPassword","CrossBrowser Test","Sat Jun 21 16:02:41 GMT 2025","unknown","Sat Jun 21 16:02:41 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","1318","checkSort","CrossBrowser Test","Sat Jun 21 16:03:16 GMT 2025","passed","Sat Jun 21 16:03:18 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"Проверка добавления товара в корзину","586","checkAddToCart","CrossBrowser Test","Sat Jun 21 16:02:48 GMT 2025","passed","Sat Jun 21 16:02:48 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddToCart"
"","1","checkLoginWithIncorreсtPassword","CrossBrowser Test","Sat Jun 21 16:02:41 GMT 2025","unknown","Sat Jun 21 16:02:41 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtPassword"
