"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1245","checkSort","CrossBrowser Test","Mon Jun 16 18:05:13 GMT 2025","passed","Mon Jun 16 18:05:15 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","0","checkLoginWithIncorreсtPassword","CrossBrowser Test","Mon Jun 16 18:04:51 GMT 2025","unknown","Mon Jun 16 18:04:51 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtPassword"
"","1264","checkSort","CrossBrowser Test","Mon Jun 16 18:05:21 GMT 2025","passed","Mon Jun 16 18:05:22 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"Проверка добавления товара в корзину","609","checkAddToCart","CrossBrowser Test","Mon Jun 16 18:04:57 GMT 2025","passed","Mon Jun 16 18:04:58 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddToCart"
"","0","checkLoginWithEmptyPassword","CrossBrowser Test","Mon Jun 16 18:04:51 GMT 2025","unknown","Mon Jun 16 18:04:51 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","1324","checkSort","CrossBrowser Test","Mon Jun 16 18:05:17 GMT 2025","passed","Mon Jun 16 18:05:18 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","1","checkLoginWithEmptyLogin","CrossBrowser Test","Mon Jun 16 18:04:51 GMT 2025","unknown","Mon Jun 16 18:04:51 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","0","checkLoginWithIncorreсtLogin","CrossBrowser Test","Mon Jun 16 18:04:51 GMT 2025","unknown","Mon Jun 16 18:04:51 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithIncorreсtLogin"
"","2425","checkEndToEnd","CrossBrowser Test","Mon Jun 16 18:05:05 GMT 2025","passed","Mon Jun 16 18:05:07 GMT 2025","tests.EndToEndTest","FireFox","tests.EndToEndTest","checkEndToEnd"
"","1043","checkSort","CrossBrowser Test","Mon Jun 16 18:05:10 GMT 2025","passed","Mon Jun 16 18:05:11 GMT 2025","tests.SortTest","FireFox","tests.SortTest","checkSort"
"","1","checkAddTwoProductsToCart","CrossBrowser Test","Mon Jun 16 18:04:51 GMT 2025","unknown","Mon Jun 16 18:04:51 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkAddTwoProductsToCart"
"","454","checkLogin","CrossBrowser Test","Mon Jun 16 18:04:54 GMT 2025","passed","Mon Jun 16 18:04:55 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLogin"
